label,ticker,period_end,revenue,sgna,sgna_to_revenue_pct
2024 Q3,NVDA,2024-10-27,35082000000,897000000,2.56
2024 Q4,NVDA,2025-01-26,39331000000,975000000,2.48
2025 Q1,NVDA,2025-04-27,44062000000,1041000000,2.36
2025 Q2,NVDA,2025-07-27,46743000000,1122000000,2.4
2025 Q3,NVDA,2025-10-26,57006000000,1134000000,1.99
